sie	ɕ ɛ
marsem	m a r s ɛ m
martinie	m a r t i ɲ ɛ
maryli	m a r ɘ l i
mateuszowi	m a t ɛ u ʂ ɔ v i
mathis	m a t i s
mazdy	m a z d ɘ
mazovia	m a z ɔ v j a
meczetach	m ɛ t͡ʂ ɛ t a x
medalową	m ɛ d a l ɔ v ɔ w̃
medicare	m ɛ d i t͡s a r ɛ
memie	m ɛ m j ɛ
merc	m ɛ r t͡s
mianowanego	m j a n ɔ v a n ɛ ɡ ɔ
michalskiego	m i x a l s k j ɛ ɡ ɔ
mieszaniu	m j ɛ ʂ a ɲ u
milimetry	m i l i m ɛ t r ɘ
mimiki	m i m i k i
minds	m i n t s
minutki	m i n u t k i
miłośc	m i w ɔ ɕ t͡s
mogącym	m ɔ ɡ ɔ n t͡s ɘ m
montanie	m ɔ n t a ɲ ɛ
moral	m ɔ r a l
mpix	m p i k s
męczyła	m ɛ n t͡ʂ ɘ w a
mężczyżni	m ɛ n ʂ t͡ʂ ɘ ʐ ɲ i
mło	m w ɔ
młodszemu	m w ɔ t ʂ ɛ m u
nadużyciach	n a d u ʐ ɘ t͡ɕ a x
nagrało	n a ɡ r a w ɔ
nagrały	n a ɡ r a w ɘ
naiwnością	n a i v n ɔ ɕ t͡ɕ ɔ w̃
najczystsze	n a j t͡ʂ ɘ s t ʂ ɛ
najfajniejszych	n a j f a j ɲ ɛ j ʂ ɘ x
najliczniejszą	n a j l i t͡ʂ ɲ ɛ j ʂ ɔ w̃
najsławniejszych	n a j s w a v ɲ ɛ j ʂ ɘ x
nakłanianie	n a k w a ɲ a ɲ ɛ
napisales	n a p i s a l ɛ s
naprawach	n a p r a v a x
narażania	n a r a ʐ a ɲ a
narożnikach	n a r ɔ ʐ ɲ i k a x
nasilają	n a ɕ i l a j ɔ w̃
nasuwają	n a s u v a j ɔ w̃
nawilżający	n a v i l ʐ a j ɔ n t͡s ɘ
nawiązaliśmy	n a v j ɔ n z a l i ɕ m ɘ
nawołujących	n a v ɔ w u j ɔ n t͡s ɘ x
nałożona	n a w ɔ ʐ ɔ n a
negocjuje	n ɛ ɡ ɔ t͡s j u j ɛ
neony	n ɛ ɔ n ɘ
neuro	n ɛ w r ɔ
neutralni	n ɛ w t r a l ɲ i
niebiańskich	ɲ ɛ b j a ɲ s k i x
niemożliwość	ɲ ɛ m ɔ ʐ l i v ɔ ɕ t͡ɕ
niepodległościowy	ɲ ɛ p ɔ d l ɛ ɡ w ɔ ɕ t͡ɕ ɔ v ɘ
nieprzydatne	ɲ ɛ p ʂ ɘ d a t n ɛ
nietypowej	ɲ ɛ t ɘ p ɔ v ɛ j
nieuczciwi	ɲ ɛ u t͡ʂ t͡ɕ i v i
niewyobrażalną	ɲ ɛ v ɘ ɔ b r a ʐ a l n ɔ w̃
niezauważone	ɲ ɛ z a w v a ʐ ɔ n ɛ
nieśmiertelnym	ɲ ɛ ɕ m j ɛ r t ɛ l n ɘ m
nikołaj	ɲ i k ɔ w a j
niosące	ɲ ɔ s ɔ n t͡s ɛ
niszczycielem	ɲ i ʂ t͡ʂ ɘ t͡ɕ ɛ l ɛ m
nitras	ɲ i t r a s
novo	n ɔ v ɔ
nowożytnych	n ɔ v ɔ ʐ ɘ t n ɘ x
numenera	n u m ɛ n ɛ r a
obejrzane	ɔ b ɛ j ʐ a n ɛ
obicia	ɔ b i t͡ɕ a
obiecująca	ɔ b j ɛ t͡s u j ɔ n t͡s a
obiektywów	ɔ b j ɛ k t ɘ v u f
oblała	ɔ b l a w a
obliczeniowych	ɔ b l i t͡ʂ ɛ ɲ ɔ v ɘ x
obowiazki	ɔ b ɔ v j a s k i
obróbkę	ɔ b r u p k ɛ
obwiniając	ɔ b v i ɲ a j ɔ n t͡s
obwinił	ɔ b v i ɲ i w
oczekiwałaś	ɔ t͡ʂ ɛ k i v a w a ɕ
oczyszczalnie	ɔ t͡ʂ ɘ ʂ t͡ʂ a l ɲ ɛ
odchodami	ɔ t x ɔ d a m i
oddzielił	ɔ d d͡ʑ ɛ l i w
odpuścimy	ɔ t p u ɕ t͡ɕ i m ɘ
odsprzedał	ɔ t s p ʂ ɛ d a w
odstraszają	ɔ t s t r a ʂ a j ɔ w̃
odważyłam	ɔ d v a ʐ ɘ w a m
odwiecznym	ɔ d v j ɛ t͡ʂ n ɘ m
odświeżony	ɔ t ɕ f j ɛ ʐ ɔ n ɘ
ogrodowych	ɔ ɡ r ɔ d ɔ v ɘ x
omówione	ɔ m u v j ɔ n ɛ
oryginal	ɔ r ɘ ɡ i n a l
osiedlowego	ɔ ɕ ɛ d l ɔ v ɛ ɡ ɔ
osram	ɔ s r a m
oszukuję	ɔ ʂ u k u j ɛ
osłabi	ɔ s w a b i
owłosiona	ɔ v w ɔ ɕ ɔ n a
oświeconych	ɔ ɕ f j ɛ t͡s ɔ n ɘ x
ożenku	ɔ ʐ ɛ ŋ k u
ożywa	ɔ ʐ ɘ v a
pacjentach	p a t͡s j ɛ n t a x
paincie	p a i n t͡ɕ ɛ
pakistańczycy	p a k i s t a ɲ t͡ʂ ɘ t͡s ɘ
paliwową	p a l i v ɔ v ɔ w̃
partyzantkę	p a r t ɘ z a n t k ɛ
password	p a s f ɔ r t
pasteur	p a s t ɛ w r
pastwisk	p a s t f i s k
patentowy	p a t ɛ n t ɔ v ɘ
patria	p a t r j a
październikowa	p a ʑ d͡ʑ ɛ r ɲ i k ɔ v a
pchnięcia	p x ɲ ɛ ɲ t͡ɕ a
pchnięciu	p x ɲ ɛ ɲ t͡ɕ u
pedałowania	p ɛ d a w ɔ v a ɲ a
penne	p ɛ n n ɛ
pepa	p ɛ p a
piaf	p j a f
plemnika	p l ɛ m ɲ i k a
plichta	p l i x t a
pobiegnie	p ɔ b j ɛ ɡ ɲ ɛ
pobierających	p ɔ b j ɛ r a j ɔ n t͡s ɘ x
pobieraniu	p ɔ b j ɛ r a ɲ u
pobierała	p ɔ b j ɛ r a w a
pobyty	p ɔ b ɘ t ɘ
pochodni	p ɔ x ɔ d ɲ i
poczujemy	p ɔ t͡ʂ u j ɛ m ɘ
podbije	p ɔ d b i j ɛ
podbitym	p ɔ d b i t ɘ m
podgrupy	p ɔ d ɡ r u p ɘ
podniecające	p ɔ d ɲ ɛ t͡s a j ɔ n t͡s ɛ
podwoiła	p ɔ d v ɔ i w a
pogaństwa	p ɔ ɡ a ɲ s t f a
pokręcona	p ɔ k r ɛ n t͡s ɔ n a
polarnych	p ɔ l a r n ɘ x
pomyslalam	p ɔ m ɘ s l a l a m
pomyśleliście	p ɔ m ɘ ɕ l ɛ l i ɕ t͡ɕ ɛ
poo	p ɔ
popełniły	p ɔ p ɛ w ɲ i w ɘ
popiersia	p ɔ p j ɛ r ɕ a
popsuły	p ɔ p s u w ɘ
popłakałam	p ɔ p w a k a w a m
porownac	p ɔ r ɔ v n a t͡s
poruszeni	p ɔ r u ʂ ɛ ɲ i
posadach	p ɔ s a d a x
posadzili	p ɔ s a d͡ʑ i l i
posluchac	p ɔ s l u x a t͡s
posmakuje	p ɔ s m a k u j ɛ
postrzałowych	p ɔ s t ʂ a w ɔ v ɘ x
poszukamy	p ɔ ʂ u k a m ɘ
potwierdzonym	p ɔ t f j ɛ r d͡z ɔ n ɘ m
pouczenia	p ɔ u t͡ʂ ɛ ɲ a
powiatowi	p ɔ v j a t ɔ v i
powiesi	p ɔ v j ɛ ɕ i
powiesiła	p ɔ v j ɛ ɕ i w a
powo	p ɔ v ɔ
powracającym	p ɔ v r a t͡s a j ɔ n t͡s ɘ m
pozwalającego	p ɔ z v a l a j ɔ n t͡s ɛ ɡ ɔ
pozyskiwaniem	p ɔ z ɘ s k i v a ɲ ɛ m
połączonymi	p ɔ w ɔ n t͡ʂ ɔ n ɘ m i
poślubna	p ɔ ɕ l u b n a
pożegnaniu	p ɔ ʐ ɛ ɡ n a ɲ u
pracowniczą	p r a t͡s ɔ v ɲ i t͡ʂ ɔ w̃
pralnię	p r a l ɲ ɛ
premią	p r ɛ m j ɔ w̃
procesowej	p r ɔ t͡s ɛ s ɔ v ɛ j
projektowym	p r ɔ j ɛ k t ɔ v ɘ m
prokuratur	p r ɔ k u r a t u r
prowokował	p r ɔ v ɔ k ɔ v a w
przegapiłaś	p ʂ ɛ ɡ a p i w a ɕ
przekształcanie	p ʂ ɛ k ʂ t a w t͡s a ɲ ɛ
przelatują	p ʂ ɛ l a t u j ɔ w̃
przenieśmy	p ʂ ɛ ɲ ɛ ɕ m ɘ
przepiszę	p ʂ ɛ p i ʂ ɛ
przepięknego	p ʂ ɛ p j ɛ ŋ k n ɛ ɡ ɔ
przeprosili	p ʂ ɛ p r ɔ ɕ i l i
przereklamowana	p ʂ ɛ r ɛ k l a m ɔ v a n a
przerwe	p ʂ ɛ r v ɛ
przerzucania	p ʂ ɛ ʐ u t͡s a ɲ a
przetestowania	p ʂ ɛ t ɛ s t ɔ v a ɲ a
przetrzymywane	p ʂ ɛ t ʂ ɘ m ɘ v a n ɛ
przew	p ʂ ɛ f
prześladowanym	p ʂ ɛ ɕ l a d ɔ v a n ɘ m
przybija	p ʂ ɘ b i j a
przychodzących	p ʂ ɘ x ɔ d͡z ɔ n t͡s ɘ x
przycisnął	p ʂ ɘ t͡ɕ i s n ɔ w
przydarzy	p ʂ ɘ d a ʐ ɘ
przygranicznych	p ʂ ɘ ɡ r a ɲ i t͡ʂ n ɘ x
przyjaźnisz	p ʂ ɘ j a ʑ ɲ i ʂ
przyjedźcie	p ʂ ɘ j ɛ t͡ɕ t͡ɕ ɛ
przymiotnika	p ʂ ɘ m j ɔ t ɲ i k a
przypadało	p ʂ ɘ p a d a w ɔ
przyrodnia	p ʂ ɘ r ɔ d ɲ a
przysięgli	p ʂ ɘ ɕ ɛ ŋ ɡ l i
przytulę	p ʂ ɘ t u l ɛ
przywiązał	p ʂ ɘ v j ɔ n z a w
przywłaszczenia	p ʂ ɘ v w a ʂ t͡ʂ ɛ ɲ a
przyśpieszenia	p ʂ ɘ ɕ p j ɛ ʂ ɛ ɲ a
prądnik	p r ɔ n d ɲ i k
pustaków	p u s t a k u f
półkulę	p u w k u l ɛ
pęknięte	p ɛ ŋ k ɲ ɛ n t ɛ
pępkiem	p ɛ m p k j ɛ m
płatnika	p w a t ɲ i k a
płetwę	p w ɛ t f ɛ
płucne	p w u t͡s n ɛ
rack	r a t͡s k
radeon	r a d ɛ ɔ n
radkiem	r a t k j ɛ m
rakowskiego	r a k ɔ f s k j ɛ ɡ ɔ
ralf	r a l f
ratowac	r a t ɔ v a t͡s
referenta	r ɛ f ɛ r ɛ n t a
regenerację	r ɛ ɡ ɛ n ɛ r a t͡s j ɛ
rekinami	r ɛ k i n a m i
remisów	r ɛ m i s u f
remontowany	r ɛ m ɔ n t ɔ v a n ɘ
renaud	r ɛ n a w t
reperkusje	r ɛ p ɛ r k u s j ɛ
residence	r ɛ ɕ i d ɛ n t͡s ɛ
rewolwery	r ɛ v ɔ l v ɛ r ɘ
ric	r i t͡s
rodzona	r ɔ d͡z ɔ n a
romanowski	r ɔ m a n ɔ f s k i
rookie	r ɔ ɔ k j ɛ
rozciągał	r ɔ s t͡ɕ ɔ ŋ ɡ a w
rozkładane	r ɔ s k w a d a n ɛ
rozpoczynającym	r ɔ s p ɔ t͡ʂ ɘ n a j ɔ n t͡s ɘ m
rozprawkę	r ɔ s p r a f k ɛ
rozpruwacza	r ɔ s p r u v a t͡ʂ a
rozszerzając	r ɔ s ʂ ɛ ʐ a j ɔ n t͡s
rozterek	r ɔ s t ɛ r ɛ k
roztrzaskał	r ɔ s t ʂ a s k a w
rozwieje	r ɔ z v j ɛ j ɛ
rozwijasz	r ɔ z v i j a ʂ
rozwiniesz	r ɔ z v i ɲ ɛ ʂ
rozwinięciu	r ɔ z v i ɲ ɛ ɲ t͡ɕ u
rudolph	r u d ɔ l f
rydwany	r ɘ d v a n ɘ
rysowników	r ɘ s ɔ v ɲ i k u f
rzeczonego	ʐ ɛ t͡ʂ ɔ n ɛ ɡ ɔ
różańcem	r u ʐ a ɲ t͡s ɛ m
saad	s a a t
salgado	s a l ɡ a d ɔ
salute	s a l u t ɛ
samochodowi	s a m ɔ x ɔ d ɔ v i
sanitarno	s a ɲ i t a r n ɔ
sauveur	s a w v ɛ w r
scania	s t͡s a ɲ a
screaming	s k r i m i ŋ k
scrolls	s k r ɔ l s
sejmikach	s ɛ j m i k a x
sent	s ɛ n t
serock	s ɛ r ɔ t͡s k
serwerami	s ɛ r v ɛ r a m i
seward	s ɛ v a r t
sfabrykowane	s f a b r ɘ k ɔ v a n ɛ
sformułował	s f ɔ r m u w ɔ v a w
sfrustrowana	s f r u s t r ɔ v a n a
shermana	ʂ ɛ r m a n a
skazańca	s k a z a ɲ t͡s a
skradziona	s k r a d͡ʑ ɔ n a
skrzyniach	s k ʂ ɘ ɲ a x
skull	s k u l
slavic	s l a v i t͡s
solis	s ɔ l i s
sont	s ɔ n t
sosami	s ɔ s a m i
spadkową	s p a t k ɔ v ɔ w̃
spartanie	s p a r t a ɲ ɛ
spiszu	s p i ʂ u
spocona	s p ɔ t͡s ɔ n a
spoczywał	s p ɔ t͡ʂ ɘ v a w
społecznościowymi	s p ɔ w ɛ t͡ʂ n ɔ ɕ t͡ɕ ɔ v ɘ m i
sprawmy	s p r a v m ɘ
sprężania	s p r ɛ n ʐ a ɲ a
spędzona	s p ɛ n d͡z ɔ n a
stalinowskim	s t a l i n ɔ f s k i m
stato	s t a t ɔ
stawiła	s t a v i w a
sterlinga	s t ɛ r l i ŋ ɡ a
sterujących	s t ɛ r u j ɔ n t͡s ɘ x
stich	s t i x
stracil	s t r a t͡ɕ i l
straszliwą	s t r a ʂ l i v ɔ w̃
styczniowych	s t ɘ t͡ʂ ɲ ɔ v ɘ x
subiektywnym	s u b j ɛ k t ɘ v n ɘ m
sui	s u i
swarzędzu	s f a ʐ ɛ n d͡z u
syl	s ɘ l
sylvii	s ɘ l v j i
symptomem	s ɘ m p t ɔ m ɛ m
syntetycznej	s ɘ n t ɛ t ɘ t͡ʂ n ɛ j
sypiają	s ɘ p j a j ɔ w̃
szamani	ʂ a m a ɲ i
szanowani	ʂ a n ɔ v a ɲ i
szerokościach	ʂ ɛ r ɔ k ɔ ɕ t͡ɕ a x
szkieletowej	ʂ k j ɛ l ɛ t ɔ v ɛ j
szlachetni	ʂ l a x ɛ t ɲ i
szmatki	ʂ m a t k i
sznurków	ʂ n u r k u f
szoł	ʂ ɔ w
szyc	ʂ ɘ t͡s
taking	t a k i ŋ k
tema	t ɛ m a
temps	t ɛ m p s
terroryzuje	t ɛ r r ɔ r ɘ z u j ɛ
tired	t i r ɛ t
tolerowany	t ɔ l ɛ r ɔ v a n ɘ
tonikiem	t ɔ ɲ i k j ɛ m
topshop	t ɔ p ʂ ɔ p
traca	t r a t͡s a
traktu	t r a k t u
transportowany	t r a n s p ɔ r t ɔ v a n ɘ
trase	t r a s ɛ
trawnikach	t r a v ɲ i k a x
treściach	t r ɛ ɕ t͡ɕ a x
trójpodział	t r u j p ɔ d͡ʑ a w
tutu	t u t u
twardzieli	t f a r d͡ʑ ɛ l i
tydz	t ɘ t͡s
tłumaczki	t w u m a t͡ʂ k i
tłumaczonych	t w u m a t͡ʂ ɔ n ɘ x
tłumika	t w u m i k a
ubezpieczalni	u b ɛ s p j ɛ t͡ʂ a l ɲ i
ubytków	u b ɘ t k u f
uderzasz	u d ɛ ʐ a ʂ
uderzeniowe	u d ɛ ʐ ɛ ɲ ɔ v ɛ
ujęciem	u j ɛ ɲ t͡ɕ ɛ m
umocowanie	u m ɔ t͡s ɔ v a ɲ ɛ
umożliwiłoby	u m ɔ ʐ l i v i w ɔ b ɘ
umówionym	u m u v j ɔ n ɘ m
unicestwienia	u ɲ i t͡s ɛ s t f j ɛ ɲ a
unijnymi	u ɲ i j n ɘ m i
upodabnia	u p ɔ d a b ɲ a
uprzywilejowaną	u p ʂ ɘ v i l ɛ j ɔ v a n ɔ w̃
urzekła	u ʐ ɛ k w a
usiedliśmy	u ɕ ɛ d l i ɕ m ɘ
usprawiedliwiony	u s p r a v j ɛ d l i v j ɔ n ɘ
ustawiał	u s t a v j a w
usługową	u s w u ɡ ɔ v ɔ w̃
utknąłem	u t k n ɔ w ɛ m
uwarunkowana	u v a r u ŋ k ɔ v a n a
uznawano	u z n a v a n ɔ
vectra	v ɛ t͡s t r a
veil	v ɛ i l
vento	v ɛ n t ɔ
victorią	v i t͡s t ɔ r j ɔ w̃
violi	v j ɔ l i
vor	v ɔ r
wasteland	v a s t ɛ l a n t
watykańskim	v a t ɘ k a ɲ s k i m
wbudowanym	v b u d ɔ v a n ɘ m
wchodziłam	f x ɔ d͡ʑ i w a m
wchłonięta	f x w ɔ ɲ ɛ n t a
wdrożone	v d r ɔ ʐ ɔ n ɛ
weissa	v ɛ i s s a
wejściowa	v ɛ j ɕ t͡ɕ ɔ v a
wektorów	v ɛ k t ɔ r u f
wenerycznych	v ɛ n ɛ r ɘ t͡ʂ n ɘ x
wesołowska	v ɛ s ɔ w ɔ f s k a
weteranom	v ɛ t ɛ r a n ɔ m
wharton	f a r t ɔ n
wielkopolan	v j ɛ l k ɔ p ɔ l a n
wjazdowa	v j a z d ɔ v a
wladz	v l a t͡s
wloszech	v l ɔ ʂ ɛ x
wnioskujesz	v ɲ ɔ s k u j ɛ ʂ
wojuje	v ɔ j u j ɛ
wpadłaś	f p a d w a ɕ
wplywem	f p l ɘ v ɛ m
wsip	f ɕ i p
współdzielenia	f s p u w d͡ʑ ɛ l ɛ ɲ a
wszczęli	f ʂ t͡ʂ ɛ l i
wszysto	f ʂ ɘ s t ɔ
wybieraja	v ɘ b j ɛ r a j a
wychodzeniu	v ɘ x ɔ d͡z ɛ ɲ u
wyczynia	v ɘ t͡ʂ ɘ ɲ a
wygrala	v ɘ ɡ r a l a
wykopał	v ɘ k ɔ p a w
wykorzystały	v ɘ k ɔ ʐ ɘ s t a w ɘ
wymalowane	v ɘ m a l ɔ v a n ɛ
wymienią	v ɘ m j ɛ ɲ ɔ w̃
wyobraziłam	v ɘ ɔ b r a ʑ i w a m
wypijemy	v ɘ p i j ɛ m ɘ
wypoczęta	v ɘ p ɔ t͡ʂ ɛ n t a
wyprawki	v ɘ p r a f k i
wyrazistych	v ɘ r a ʑ i s t ɘ x
wyrębu	v ɘ r ɛ m b u
wystawowe	v ɘ s t a v ɔ v ɛ
występom	v ɘ s t ɛ m p ɔ m
wysłannikiem	v ɘ s w a n ɲ i k j ɛ m
wywaliłem	v ɘ v a l i w ɛ m
wyłacznie	v ɘ w a t͡ʂ ɲ ɛ
względnego	v z ɡ l ɛ n d n ɛ ɡ ɔ
wzmożenie	v z m ɔ ʐ ɛ ɲ ɛ
wąskotorowej	v ɔ n s k ɔ t ɔ r ɔ v ɛ j
właścicielu	v w a ɕ t͡ɕ i t͡ɕ ɛ l u
włoskami	v w ɔ s k a m i
yasmin	j a s m i n
youtubera	j u t u b ɛ r a
zaangażowanymi	z a a ŋ ɡ a ʐ ɔ v a n ɘ m i
zabezpieczonych	z a b ɛ s p j ɛ t͡ʂ ɔ n ɘ x
zadanej	z a d a n ɛ j
zaginięć	z a ɡ i ɲ ɛ ɲ t͡ɕ
zagościł	z a ɡ ɔ ɕ t͡ɕ i w
zagwarantował	z a ɡ v a r a n t ɔ v a w
zainstalowaniu	z a i n s t a l ɔ v a ɲ u
zakazujące	z a k a z u j ɔ n t͡s ɛ
zakresy	z a k r ɛ s ɘ
zakręcona	z a k r ɛ n t͡s ɔ n a
zakwalifikowano	z a k f a l i f i k ɔ v a n ɔ
zakłamana	z a k w a m a n a
zalewając	z a l ɛ v a j ɔ n t͡s
zamieniłbym	z a m j ɛ ɲ i w b ɘ m
zamieszkiwania	z a m j ɛ ʂ k i v a ɲ a
zamysłem	z a m ɘ s w ɛ m
zanieczyszczony	z a ɲ ɛ t͡ʂ ɘ ʂ t͡ʂ ɔ n ɘ
zaobserwowanych	z a ɔ p s ɛ r v ɔ v a n ɘ x
zapobiegnie	z a p ɔ b j ɛ ɡ ɲ ɛ
zapoznajcie	z a p ɔ z n a j t͡ɕ ɛ
zapłacze	z a p w a t͡ʂ ɛ
zaroślach	z a r ɔ ɕ l a x
zasnąłeś	z a s n ɔ w ɛ ɕ
zasranej	z a s r a n ɛ j
zawiązanymi	z a v j ɔ n z a n ɘ m i
załadowany	z a w a d ɔ v a n ɘ
założyło	z a w ɔ ʐ ɘ w ɔ
zbadaj	z b a d a j
zdewastowany	z d ɛ v a s t ɔ v a n ɘ
zedonga	z ɛ d ɔ ŋ ɡ a
zegarowa	z ɛ ɡ a r ɔ v a
zegarową	z ɛ ɡ a r ɔ v ɔ w̃
zepchnięty	z ɛ p x ɲ ɛ n t ɘ
zepchnął	z ɛ p x n ɔ w
zestrzelenie	z ɛ s t ʂ ɛ l ɛ ɲ ɛ
zgadzaja	z ɡ a d͡z a j a
zgadł	z ɡ a d w
zgubimy	z ɡ u b i m ɘ
ziści	ʑ i ɕ t͡ɕ i
zjebaną	z j ɛ b a n ɔ w̃
zmienie	z m j ɛ ɲ ɛ
zmodyfikowaną	z m ɔ d ɘ f i k ɔ v a n ɔ w̃
zmuszana	z m u ʂ a n a
zmywania	z m ɘ v a ɲ a
znaczkach	z n a t͡ʂ k a x
zniewagę	z ɲ ɛ v a ɡ ɛ
znikomą	z ɲ i k ɔ m ɔ w̃
zniszczyliście	z ɲ i ʂ t͡ʂ ɘ l i ɕ t͡ɕ ɛ
znoszenia	z n ɔ ʂ ɛ ɲ a
zolnierze	z ɔ l ɲ ɛ ʐ ɛ
zop	z ɔ p
zraniłeś	z r a ɲ i w ɛ ɕ
zrujnowana	z r u j n ɔ v a n a
zrzuceniu	z ʐ u t͡s ɛ ɲ u
zwariowała	z v a r j ɔ v a w a
zwariowałam	z v a r j ɔ v a w a m
zwijają	z v i j a j ɔ w̃
złapani	z w a p a ɲ i
łodzian	w ɔ d͡ʑ a n
łodzianie	w ɔ d͡ʑ a ɲ ɛ
łączona	w ɔ n t͡ʂ ɔ n a
ślęży	ɕ l ɛ n ʐ ɘ
średzki	ɕ r ɛ t͡s k i
świdnicki	ɕ f i d ɲ i t͡s k i
świruj	ɕ f i r u j
świętujesz	ɕ f j ɛ n t u j ɛ ʂ
żeberek	ʐ ɛ b ɛ r ɛ k
żeliwne	ʐ ɛ l i v n ɛ
absolutu	a p s ɔ l u t u
acting	a t͡s t i ŋ k
actually	a t͡s t u a l l ɘ
adoptował	a d ɔ p t ɔ v a w
adoptuj	a d ɔ p t u j
adu	a d u
afonso	a f ɔ n s ɔ
akceleratora	a k t͡s ɛ l ɛ r a t ɔ r a
akiry	a k i r ɘ
akredytacje	a k r ɛ d ɘ t a t͡s j ɛ
alarmie	a l a r m j ɛ
alawitów	a l a v i t u f
alcatraz	a l t͡s a t r a s
alden	a l d ɛ n
alg	a l k
alphonse	a l f ɔ n s ɛ
anatomicznych	a n a t ɔ m i t͡ʂ n ɘ x
andrychowie	a n d r ɘ x ɔ v j ɛ
anthonym	a n t x ɔ n ɘ m
antybiotykami	a n t ɘ b j ɔ t ɘ k a m i
antykorupcyjne	a n t ɘ k ɔ r u p t͡s ɘ j n ɛ
arne	a r n ɛ
arnie	a r ɲ ɛ
asiu	a ɕ u
asortymentu	a s ɔ r t ɘ m ɛ n t u
autoimmunologiczne	a w t ɔ i m m u n ɔ l ɔ ɡ i t͡ʂ n ɛ
bait	b a i t
banka	b a n k a
bartoszycach	b a r t ɔ ʂ ɘ t͡s a x
barwną	b a r v n ɔ w̃
batmanie	b a t m a ɲ ɛ
bazylii	b a z ɘ l j i
bałuty	b a w u t ɘ
becketta	b ɛ t͡s k ɛ t t a
beretta	b ɛ r ɛ t t a
betonowymi	b ɛ t ɔ n ɔ v ɘ m i
bezbolesne	b ɛ z b ɔ l ɛ s n ɛ
bezskuteczne	b ɛ s s k u t ɛ t͡ʂ n ɛ
białkowe	b j a w k ɔ v ɛ
bioshock	b j ɔ ʂ ɔ t͡s k
biskupin	b i s k u p i n
biz	b i s
blaski	b l a s k i
borkowska	b ɔ r k ɔ f s k a
boxy	b ɔ k s ɘ
brackiej	b r a t͡s k j ɛ j
bractw	b r a t͡s t f
brava	b r a v a
breaku	b r ɛ a k u
bri	b r i
brudem	b r u d ɛ m
brukowej	b r u k ɔ v ɛ j
budek	b u d ɛ k
budimex	b u d i m ɛ k s
budowanego	b u d ɔ v a n ɛ ɡ ɔ
burr	b u r
burzliwa	b u ʐ l i v a
błagania	b w a ɡ a ɲ a
błyskotliwym	b w ɘ s k ɔ t l i v ɘ m
błyszczącej	b w ɘ ʂ t͡ʂ ɔ n t͡s ɛ j
callahan	t͡s a l a x a n
carlin	t͡s a r l i n
chaotyczna	x a ɔ t ɘ t͡ʂ n a
chau	x a w
chcialby	x t͡ɕ a l b ɘ
chochołowskiej	x ɔ x ɔ w ɔ f s k j ɛ j
chodnikowe	x ɔ d ɲ i k ɔ v ɛ
chorwację	x ɔ r v a t͡s j ɛ
chroniąca	x r ɔ ɲ ɔ n t͡s a
chroniącą	x r ɔ ɲ ɔ n t͡s ɔ w̃
chwilówek	x f i l u v ɛ k
ciri	t͡ɕ i r i
cochran	t͡s ɔ x r a n
coe	t͡s ɔ ɛ
corsa	t͡s ɔ r s a
courage	k u r a ʂ
cowboy	t͡s ɔ v b ɔ j
crewe	t͡s r ɛ v ɛ
cska	t͡s s k a
cutter	t͡s u t ɛ r
cwiczen	t͡s f i t͡ʂ ɛ n
cynicznym	t͡s ɘ ɲ i t͡ʂ n ɘ m
czarujące	t͡ʂ a r u j ɔ n t͡s ɛ
czereśni	t͡ʂ ɛ r ɛ ɕ ɲ i
czesnego	t͡ʂ ɛ s n ɛ ɡ ɔ
czujnikami	t͡ʂ u j ɲ i k a m i
czyniła	t͡ʂ ɘ ɲ i w a
danem	d a n ɛ m
darczyńcy	d a r t͡ʂ ɘ ɲ t͡s ɘ
dawniejszych	d a v ɲ ɛ j ʂ ɘ x
debby	d ɛ b b ɘ
debilnych	d ɛ b i l n ɘ x
dedukcji	d ɛ d u k t͡s j i
deserem	d ɛ s ɛ r ɛ m
dianie	d j a ɲ ɛ
dobudowano	d ɔ b u d ɔ v a n ɔ
dojściem	d ɔ j ɕ t͡ɕ ɛ m
dokuczał	d ɔ k u t͡ʂ a w
domyślnych	d ɔ m ɘ ɕ l n ɘ x
donosiły	d ɔ n ɔ ɕ i w ɘ
dopalaczami	d ɔ p a l a t͡ʂ a m i
dopisane	d ɔ p i s a n ɛ
doprowadziłoby	d ɔ p r ɔ v a d͡ʑ i w ɔ b ɘ
dorzuci	d ɔ ʐ u t͡ɕ i
dosięgnie	d ɔ ɕ ɛ ŋ ɡ ɲ ɛ
dostosowując	d ɔ s t ɔ s ɔ v u j ɔ n t͡s
dota	d ɔ t a
dotacją	d ɔ t a t͡s j ɔ w̃
dotrzec	d ɔ t ʂ ɛ t͡s
dowództwu	d ɔ v u t͡s t f u
dołożyłem	d ɔ w ɔ ʐ ɘ w ɛ m
doświadczalnej	d ɔ ɕ f j a t t͡ʂ a l n ɛ j
doświadczam	d ɔ ɕ f j a t t͡ʂ a m
dożyła	d ɔ ʐ ɘ w a
drezna	d r ɛ z n a
dua	d u a
durniem	d u r ɲ ɛ m
dwighta	d v i x t a
dyktatur	d ɘ k t a t u r
dyktował	d ɘ k t ɔ v a w
dykty	d ɘ k t ɘ
dymnej	d ɘ m n ɛ j
dyplomacją	d ɘ p l ɔ m a t͡s j ɔ w̃
dyrygentem	d ɘ r ɘ ɡ ɛ n t ɛ m
dzikość	d͡ʑ i k ɔ ɕ t͡ɕ
długotrwałą	d w u ɡ ɔ t r f a w ɔ w̃
dżentelmena	d͡ʐ ɛ n t ɛ l m ɛ n a
